product_id,product_code,product_name_common,product_name_iupac,cas_number,cas_verified_status,category,seo_title,seo_meta_description,seo_keywords,description_short,description_long,feature_bullets,application_tags,spec_tg_c,spec_mp_c,spec_dk,spec_df,tsca,Column1
CHEM-2001,BMI-1000,BMI-1000,"4,4'-diphenylmethane bismaleimide",13676-54-5,Verified,Thermoset,BMI-1000 Bismaleimide Resin for High-Temp Aerospace Composites | CAS 13676-54-5,"High-purity BMI-1000 (4,4'-diphenylmethane bismaleimide) for formulating high-performance thermosets. Achieve exceptional Tg and thermal stability for aerospace, defense, and high-Tg PCB applications.","BMI-1000,bismaleimide resin,high temperature composite,aerospace prepreg,high Tg PCB,structural adhesive,CAS 13676-54-5","A foundational monomeric bismaleimide resin that serves as an industry benchmark for high-temperature performance, forming highly cross-linked, rigid polymer networks.","BMI-1000 is the foundational monomeric bismaleimide resin, serving as an industry benchmark for high-temperature performance. Its structure enables the formation of highly cross-linked, rigid polymer networks upon curing, which imparts exceptional thermal stability and mechanical strength. It is a key raw material for matrix resins used in multilayer laminated boards and other heat-resistant molded materials and composites.",Foundational BMI Resin|Highly Cross-linked Network|Exceptional Thermal Stability|High Mechanical Strength,"Aerospace Composites,High-Tg PCBs,Structural Adhesives,Specialty Coatings",290,158,3.3,0.01,Listed,
CHEM-2002,BMI-3000H,BMI-3000H,m-phenylenebismaleimide,3006-93-7,Verified,Thermoset,BMI-3000H m-phenylenebismaleimide for Extreme Heat Resistance | CAS 3006-93-7,Formulate superior high-temperature adhesives and composites with BMI-3000H (m-phenylenebismaleimide). A high-performance BMI resin for demanding electronics and aerospace applications.,"BMI-3000H,m-phenylenebismaleimide,high temperature resin,semiconductor adhesive,aerospace matrix resin,CAS 3006-93-7","A rigid, high-performance BMI resin with a meta-phenylene structure that provides a high degree of aromaticity and rigidity for maximum heat resistance.","BMI-3000H is a rigid, high-performance BMI resin known for imparting very high thermal stability to cured systems. Its meta-phenylene structure provides a high degree of aromaticity and rigidity, making it a critical component for applications requiring maximum heat resistance. It is often used as a non-sulfur vulcanizing agent to improve heat resistance and adhesion in rubber compounds.","Rigid, High-Performance BMI|Very High Thermal Stability|High Aromaticity & Rigidity|Non-Sulfur Vulcanizing Agent","High-Temperature Adhesives,Semiconductor Materials,Aerospace Composites,Matrix Resins",,,,,,Listed
CHEM-2003,JBZ-BA100N,Bisphenol A Benzoxazine,"2H-1,3-Benzoxazine,6,6'-(1-methyl-ethylidene)bis[3,4-dihydro-3-phenyl-",154505-70-1,Verified,Thermoset,JBZ-BA100N Benzoxazine Resin for Low-Loss 5G Laminates & Composites | CAS 154505-70-1,"Formulate next-generation 5G/6G CCLs and aerospace composites with JBZ-BA100N Benzoxazine. Benefit from near-zero shrinkage, high Tg, low Dk, and inherent flame retardancy.","benzoxazine resin,JBZ-BA100N,5G CCL,low loss laminate,aerospace composite,high temperature adhesive,epoxy modifier,CAS 154505-70-1","A high-performance benzoxazine thermoset with near-zero volumetric shrinkage, high Tg, excellent dielectric properties, and inherent flame retardancy.","Benzoxazine resins represent a newer class of high-performance thermosets with a unique combination of properties. A key advantage is near-zero volumetric shrinkage during cure, which minimizes internal stress and improves dimensional stability in finished parts. They also offer high Tg, excellent dielectric properties (low Dk and Df), and inherent flame retardancy without the need for halogenated additives. The ability to copolymerize with epoxy resins makes JBZ-BA100N an ideal performance-enhancing additive, boosting the thermal and mechanical properties of standard epoxy formulations.",Near-Zero Volumetric Shrinkage|High Tg|Low Dk and Df|Inherent Flame Retardancy|Copolymerizes with Epoxy,"5G/6G Copper-Clad Laminates (CCLs),Aerospace Composites,High-Temperature Adhesives,Epoxy Resin Modification",155,75,2.8,0.006,Not Listed,
CHEM-2004,BMI-2300,Oligomeric BMI,polyphenylmethane maleimide,67784-74-1,Verified,Thermoset,BMI-2300 Oligomeric Bismaleimide for Improved Processability | CAS 67784-74-1,"BMI-2300 is an oligomeric BMI with lower melt viscosity and better solubility, ideal for prepregs and varnishes in composite manufacturing.","BMI-2300,oligomeric BMI,bismaleimide,composite prepreg,motor varnish,CAS 67784-74-1",An oligomeric BMI with lower melt viscosity and better solubility for improved processability in prepregs and varnishes.,"BMI-2300 is an oligomeric BMI with lower melt viscosity and better solubility for prepregs and varnishes, enhancing processability for composite applications.",Oligomeric Structure|Lower Melt Viscosity|Improved Solubility|Enhanced Processability,"Composite Prepregs,Motor Varnishes,Laminated Boards,Polymer Modification",280,142,3.4,0.012,Listed,
CHEM-2005,BMI-4000,Internally Toughened BMI,bisphenol A diphenyl ether bismaleimide,79922-55-7,Verified,Thermoset,BMI-4000 Internally Toughened BMI for Damage-Tolerant Composites | CAS 79922-55-7,"BMI-4000 is an internally toughened bismaleimide with a flexible backbone to reduce brittleness, ideal for damage-tolerant composites and primary aircraft structures.","BMI-4000,toughened BMI,damage-tolerant composite,aerospace composite,high-peel adhesive,CAS 79922-55-7","An internally toughened BMI with a flexible backbone designed to reduce brittleness in the final cured part, ideal for damage-tolerant composites.","BMI-4000 is an internally toughened BMI with a flexible backbone to reduce brittleness, making it suitable for damage-tolerant composites and high-peel adhesives.",Internally Toughened|Flexible Backbone|Reduced Brittleness|High Damage Tolerance,"Damage-Tolerant Composites,High-Peel Adhesives,Low-Stress Encapsulants,Primary Aircraft Structures",251,148,3.1,0.008,Listed,
CHEM-2006,DABPA,Reactive Toughener,"2,2′-Diallylbisphenol A",1745-89-7,Verified,Thermoset,DABPA Reactive Toughener for High-Performance Thermosets | CAS 1745-89-7,Use DABPA as a reactive toughener and cross-linker for high-performance thermosets like bismaleimides and cyanate esters to prevent brittleness.,"DABPA,reactive toughener,bismaleimide modifier,composite toughening,thermoset additive,CAS 1745-89-7",A diallyl-functional compound used as a reactive toughener and cross-linker for high-performance thermosets like bismaleimides.,"DABPA is a diallyl-functional compound used as a reactive toughener and cross-linker for high-performance thermosets like bismaleimides and cyanate esters, improving damage tolerance.",Diallyl-functional|Reactive Toughener|Cross-linker|Prevents Brittleness,"Toughening Agent,High-Performance Composites,Adhesives,Electronic Substrates",,,,,Listed,
CHEM-2007,BMI-5100,Alkyl-Substituted BMI,"3,3'-dimethyl-5,5'-diethyl-4,4'-diphenylmethanebismaleimide",105391-33-1,Verified,Thermoset,BMI-5100 Soluble Bismaleimide for Processable Composites | CAS 105391-33-1,"Achieve improved solubility and processability with BMI-5100, an alkyl-substituted aromatic bismaleimide that maintains good thermal performance for high-performance adhesives and composites.","BMI-5100,soluble BMI,processable bismaleimide,alkyl-substituted BMI,injection molding resin,CAS 105391-33-1","An alkyl-substituted aromatic bismaleimide that offers improved solubility and processability compared to standard BMIs, while maintaining good thermal performance.","BMI-5100 is an alkyl-substituted aromatic bismaleimide designed for enhanced processability. The alkyl groups on the aromatic rings disrupt crystal packing, leading to improved solubility in organic solvents and lower melt viscosity, making it suitable for applications like injection molding.",Alkyl-Substituted Structure|Improved Solubility|Enhanced Processability|Good Thermal Performance,"Processable Composites,Injection Molding Resins,High-Performance Adhesives",,,,,,Listed
CHEM-2008,BMI-TMH,Flexible Aliphatic BMI,"1,6-Bismaleimide-(2,2,4-trimethyl)hexane",39979-46-9,Verified,Thermoset,BMI-TMH Flexible BMI Modifier for Toughening Adhesives | CAS 39979-46-9,"Use BMI-TMH, a flexible aliphatic bismaleimide, as a reactive modifier to improve toughness, flexibility, and adhesion in composite and adhesive formulations.","BMI-TMH,flexible bismaleimide,aliphatic BMI,reactive modifier,toughening agent,CAS 39979-46-9",A flexible aliphatic bismaleimide used as a reactive modifier to improve toughness and adhesion.,"Unlike rigid aromatic BMIs, BMI-TMH is based on a flexible aliphatic chain. This structure allows it to be used as a reactive additive to toughen brittle thermoset systems, such as standard BMIs or epoxies, improving impact resistance and adhesion without significantly compromising thermal stability.",Flexible Aliphatic Backbone|Improves Toughness & Flexibility|Enhances Adhesion|Reactive Modifier,"Adhesive Formulations,Composite Toughening,Electronic Adhesives",,92,,,,Listed
CHEM-2009,Celloxide 2021P,Cycloaliphatic Diepoxide,"3,4-Epoxycyclohexylmethyl-3',4'-epoxycyclohexane carboxylate",2386-87-0,Verified,Thermoset,Celloxide 2021P UV-Stable Liquid Epoxy for Outdoor Use | CAS 2386-87-0,"Formulate UV-stable, chlorine-free systems with Celloxide 2021P, a liquid cycloaliphatic epoxy ideal for outdoor insulators, LED encapsulants, and 3D printing (SLA).","cycloaliphatic epoxy,liquid epoxy,UV-stable epoxy,chlorine-free epoxy,LED encapsulant,SLA resin,CAS 2386-87-0","A chlorine-free, UV-stable liquid epoxy for outdoor and high-reliability electronics.","Celloxide 2021P is a high-performance cycloaliphatic epoxy resin. Its chemical structure provides excellent UV stability and weather resistance, making it superior to standard BPA-based epoxies for outdoor applications. It is also chlorine-free, a critical requirement for high-reliability electronics.",Excellent UV Stability|Weather Resistant|Chlorine-Free|Low Viscosity Liquid,"Outdoor Insulators,LED Encapsulants,UV-Cure Coatings,3D Printing (SLA)",190,,3.5,0.009,Listed,
CHEM-2010,EHPE3150,Multifunctional Cycloaliphatic Epoxy,Multifunctional cycloaliphatic epoxy resin (Solid),1030386-18-5,Verified,Thermoset,EHPE3150 Solid Cycloaliphatic Epoxy for High-Heat Applications | CAS 1030386-18-5,"Use EHPE3150, a solid, multifunctional cycloaliphatic epoxy, to achieve a higher heat distortion temperature and robust performance in semiconductor potting and high-voltage components.","solid epoxy,multifunctional epoxy,cycloaliphatic epoxy,high heat epoxy,semiconductor potting,CAS 1030386-18-5","A solid, multifunctional cycloaliphatic epoxy with a higher heat distortion temperature for robust performance.","EHPE3150 is a solid, multifunctional cycloaliphatic epoxy resin that offers a higher degree of cross-linking compared to liquid versions. This results in cured systems with a high glass transition temperature (Tg) and excellent thermal stability, making it ideal for demanding applications like semiconductor potting and electrical varnishes.",Solid Multifunctional Epoxy|High Heat Distortion Temperature|High Tg|Excellent Thermal Stability,"Semiconductor Potting,Electrical Varnishes,FRP Composites,High-Voltage Components",210,85,3.4,0.008,Listed,
CHEM-2011,JBZ-FA100N,Bisphenol F Benzoxazine,Bisphenol F Benzoxazine,24937-74-4,Verified,Thermoset,JBZ-FA100N Flexible Benzoxazine for Advanced Composites | CAS 24937-74-4,"Utilize JBZ-FA100N, a flexible Bisphenol F-based benzoxazine, for enhanced processability and performance in advanced aerospace composites and high-temperature adhesives.","benzoxazine resin,flexible benzoxazine,bisphenol F benzoxazine,aerospace composite,high-temp adhesive,CAS 24937-74-4",A flexible Bisphenol F-based benzoxazine with enhanced processability for advanced composites.,"JBZ-FA100N is a benzoxazine resin based on a flexible Bisphenol F backbone. This structure provides enhanced processability and handling characteristics compared to more rigid benzoxazines, making it suitable for complex composite manufacturing while still offering good thermal performance.",Flexible Bisphenol F Backbone|Enhanced Processability|Good Thermal Performance|Ideal for Complex Shapes,"Aerospace Composites,High-Temperature Adhesives,Epoxy Modification,High-Performance Coatings",147,75,,,,Listed
CHEM-2012,JBZ-OP100D,Benzoxazine Homopolymer,Benzoxazine Homopolymer,2173400-98-9,Verified,Thermoset,JBZ-OP100D Specialty Benzoxazine for High-Frequency Electronics | CAS 2173400-98-9,"JBZ-OP100D is a specialty benzoxazine homopolymer designed for high thermal stability and excellent dielectric properties, suitable for advanced electronic and composite applications.","benzoxazine homopolymer,high-frequency electronics,low-loss laminate,aerospace composite,CAS 2173400-98-9",A specialty benzoxazine homopolymer designed for high thermal stability and excellent dielectric properties.,"JBZ-OP100D is a specialty benzoxazine homopolymer developed for applications demanding high thermal stability and excellent dielectric performance. Its unique molecular structure makes it a prime candidate for high-frequency electronics, low-loss laminates, and advanced aerospace composites where signal integrity and heat resistance are critical.",Specialty Homopolymer|High Thermal Stability|Excellent Dielectric Properties|Low Signal Loss,"High-Frequency Electronics,Low-Loss Laminates,Aerospace Composites",,,,,,Listed
CHEM-2013,JBZ-OP100I,Benzoxazine Homopolymer,Benzoxazine Homopolymer,1174173-45-5,Verified,Thermoset,JBZ-OP100I High-Performance Benzoxazine for Structural Composites | CAS 1174173-45-5,"JBZ-OP100I is a high-performance benzoxazine homopolymer offering superior thermal and mechanical properties for demanding applications in aerospace, defense, and electronics.","benzoxazine homopolymer,structural composite,high-temperature adhesive,industrial coating,CAS 1174173-45-5",A high-performance benzoxazine homopolymer offering superior thermal and mechanical properties.,"JBZ-OP100I is a high-performance benzoxazine homopolymer engineered for superior thermal and mechanical strength. It is designed for the most demanding applications, including structural composites in aerospace and defense, where high strength-to-weight ratio and resistance to extreme environments are required.",High-Performance Homopolymer|Superior Thermal Properties|Superior Mechanical Strength|Ideal for Structural Applications,"Structural Composites,High-Temperature Adhesives,Industrial Coatings",,,,,,Listed
CHEM-2014,JBZ-OP100N,Benzoxazine Homopolymer,Benzoxazine Homopolymer,918788-89-3,Verified,Thermoset,JBZ-OP100N Toughened Benzoxazine for Specialty Adhesives | CAS 918788-89-3,"JBZ-OP100N is a benzoxazine homopolymer with a unique property balance, often used in formulations requiring enhanced toughness and specific processing characteristics.","benzoxazine homopolymer,toughened composite,specialty adhesive,electronic encapsulant,CAS 918788-89-3",A benzoxazine homopolymer with a unique property balance for enhanced toughness.,"JBZ-OP100N is a benzoxazine homopolymer that has been formulated to provide a unique balance of properties, with an emphasis on enhanced toughness and specific processing characteristics. This makes it suitable for creating toughened composites, specialty adhesives, and electronic encapsulants where durability and reliability are key.",Toughened Homopolymer|Balanced Properties|Enhanced Toughness|Specific Processing Characteristics,"Toughened Composites,Specialty Adhesives,Electronic Encapsulants",,,,,,Listed
CHEM-3001,YD-128G,BPA Epoxy Resin,Bisphenol A epoxy resin,25068-38-6,Verified,Epoxy,Liquid Bisphenol A (BPA) Epoxy Resin | General Purpose & High Adhesion,"High-quality liquid BPA epoxy resin for coatings, adhesives, composites, and civil engineering. Provides excellent adhesion, corrosion resistance, and mechanical strength. Multiple grades available.","BPA epoxy resin,liquid epoxy resin,bisphenol a epoxy,epoxy coating,structural adhesive,epoxy composite,CAS 25068-38-6","The industry workhorse, BPA-based epoxies offer an unparalleled balance of performance and cost-effectiveness with excellent adhesion and mechanical strength.","Bisphenol A (BPA) based epoxies are the workhorse of the industry, offering an unparalleled balance of performance and cost-effectiveness. Their key attributes include excellent adhesion to a wide range of substrates, high mechanical strength, and robust resistance to corrosion and chemicals. They are valued for their reliability and versatility in a multitude of applications.",Excellent Adhesion|High Mechanical Strength|Robust Corrosion & Chemical Resistance|Cost-Effective|Versatile,"Paints,Protective coatings,Electronic Materials,Civil Engineering,Adhesives,Composites",,,,,Listed,
CHEM-3002,YDF-170,BPF Epoxy Resin,Bisphenol F epoxy resin,9003-36-5,Verified,Epoxy,Low-Viscosity Bisphenol F (BPF) Epoxy Resin | Enhanced Chemical Resistance,"Formulate high-performance, solvent-free systems with YDF-170 BPF epoxy resin. Offers low viscosity for easy processing and superior chemical resistance for demanding coating and adhesive applications.","BPF epoxy resin,bisphenol f epoxy,low viscosity epoxy,chemical resistant epoxy,YDF-170,CAS 9003-36-5","A low-viscosity epoxy resin offering improved handling, higher filler loading, and enhanced chemical resistance compared to standard BPA epoxies.","Compared to standard BPA epoxies, Bisphenol F (BPF) resins offer a significantly lower viscosity, which improves handling and allows for higher filler loading without the need for diluents. They also provide enhanced chemical resistance and flexibility, making them suitable for applications requiring greater durability and stress resistance.",Significantly Lower Viscosity|Improved Handling|Allows Higher Filler Loading|Enhanced Chemical Resistance|Increased Flexibility,"Solvent-free coatings,High-performance adhesives,Electronics,Chemical-resistant linings,Civil engineering",,,,,Listed,
CHEM-3003,YDPN/YDCN Series,Novolac Epoxy Resin,Epoxy Phenol Novolac (EPN) resin,28064-14-4,Verified,Epoxy,Novolac Epoxy Resin for High-Temp & Chemical Resistance | YDPN/YDCN Series,"Achieve superior thermal and chemical resistance with our multifunctional Novolac Epoxy Resins. Ideal for semiconductor encapsulation, high-temp composites, and protective coatings.","novolac epoxy,epoxy phenol novolac,EPN resin,high temperature epoxy,chemical resistant coating,semiconductor encapsulant,CAS 28064-14-4","Multifunctional epoxy resins that form dense, highly cross-linked networks, providing superior thermal stability and exceptional chemical resistance.","Novolac epoxy resins are multifunctional, meaning they have more than two epoxy groups per molecule. This high functionality allows them to form a very dense, highly cross-linked network upon curing. This dense structure directly translates to superior thermal stability (high Tg) and exceptional chemical resistance, far exceeding that of standard difunctional BPA or BPF epoxies.","Multifunctional|Dense, Highly Cross-linked Network|Superior Thermal Stability (High Tg)|Exceptional Chemical Resistance","High-Temperature Composites,Semiconductors,Chemical-resistant tank linings,Molding compounds,Advanced electronics",,,,,Listed,
CHEM-3004,Liquid high-purity epoxy resin,Liquid high-purity epoxy resin,Liquid high-purity epoxy resin,,Proprietary,Epoxy,High-Purity Liquid Epoxy for High-Reliability Electronics,Source ultra-low chlorine liquid epoxy resins for demanding semiconductor and high-frequency electronic applications where reliability is critical.,"high-purity epoxy,low chlorine epoxy,semiconductor encapsulant,LED potting,high-frequency electronics","A category for specialty liquid epoxies with very low levels of impurities, especially chlorine, for high-reliability electronics.","This category of epoxy resins is defined by its extremely low levels of ionic impurities, such as chlorine, which is critical for preventing corrosion and ensuring long-term reliability in sensitive electronic components like semiconductors and LEDs.",High Purity|Low Chlorine Content|High Reliability|Prevents Corrosion,"Semiconductor Encapsulants,LED Potting,High-Frequency Electronics",,,,,,
